0,UMUM
1,Lambang
                     .1  ,Garuda
.2     ,Bendera Kebangsaan
  .3     ,Lagu Kebangsaan
                     .4     ,Daerah
          .31    ,Provinsi
                   .32    ,Kabupaten/Kota
2,Tanda Kehormatan/Penghargaan untuk pegawai lihat 861.1
.1,Bintang
.2,Satyalencana
.3,Samkarya Nugraha
.4,Monumen
.5,Penghargaan Secara Adat
.6,Penghargaan lainnya
3,Hari Raya/Besar
.1,"Nasional 17 Agustus, Hari Pahlawan, dan sebagainya"
.2,Hari Raya Keagamaan
.3,Hari Ulang Tahun
.4,Hari-hari Besar Internasional
4,Ucapan
.1,Ucapan Terima Kasih
.2,Ucapan Selamat
.3,Ucapan Belasungkawa
.4,Ucapan Lainnya
5,Undangan
6,Tanda Jabatan
.1,Pamong Praja
.2,Tanda Pengenal
.3,Pejabat lainnya
7,-
8,-
9,-
10,URUSAN DALAM
11,Gedung Kantor/Termasuk Instalasi Prasarana Fisik Pamong /Kantor Dinas
12,Rumah Dinas
.1,Tanah Untuk Rumah Dinas
.2,Perabot Rumah Dinas
,
.3,Rumah Dinas Golongan 1
.4,Rumah Dinas Golongan 2
.5,Rumah Dinas Golongan 3
.6,Rumah/Bangunan Lainnya
.7,Rumah Pejabat Negara
13,Mess/Guest House
14,Rumah Susun/Apartemen
15,Penerangan Listrik/Jasa Listrik
16,Telepon/Faximile/Internet
17,Keamanan/Ketertiban Kantor
18,Kebersihan Kantor
19,Protokol
.1,Upacara Bendera
.2,Tata Tempat
      .21,Pemasangan Gambar Presiden/Wakil Presiden
.3,Audiensi / Menghadap Pimpinan
.4,Alamat-Alamat Kantor Pejabat
.5,Bandir/Umbul-Umbul/Spanduk
20,PERALATAN
.1,Penawaran
21,Alat Tulis
22,Mesin Kantor
23,Perabot Kantor
24,Alat Angkutan
25,Pakaian Dinas
26,Senjata
27,Pengadaan
28,Inventaris
29,-
30,KEKAYAAN DAERAH
31,Sumber Daya Alam
32,Asset Daerah
33,
34,
35,
36,
40,PERPUSTAKAAN DOKUMENTASI / KEARSIPAN / SANDI
41,Perpustakaan
.1,Umum
.2,Khusus
.3,Perguruan Tinggi
.4,Sekolah
.5,Keliling
42,Dokumentasi
43,-
44,-
45,Kearsipan
          .1           ,Pola Klasifikasi
.2,Penataan Berkas
.3,Penyusutan Arsip
.31,Jadwal Retensi Arsip
.32,Pemindahan Arsip
.33,Penilaian Arsip
.34,Pemusnahan Arsip
.35,Penyerahan Arsip
.36,Berita Acara Penyusutan Arsip
.37,Daftar Pencarian Arsip
.4,Pembinaan Kearsipan
.41,Bimbingan Teknis
.5,Pemeliharaan /Perawatan Arsip
.6,Pengawetan/Fumigasi
46,Sandi
47,Website
48,Pengelolaan Data
49,Jaringan Komunikasi Data
50,PERENCANAAN
.1,Repelita/8 Sukses
.11,Pelita Daerah
.12,Bantuan Pembangunan Daerah
.13,Bappeda
51,"Proyek Bidang Pemerintahan, Klasifikasikan Disini :"
,"Proyek Prasaran Fisik Pemerintahan, Tambahkan Perincian 100 Pada 051"
,Contoh: Proyek Kepenjaraan 051.86
52,Bidang Politik
53,Bidang Keamanan Dan Ketertiban Tambhkan Perincian 300 Pada 053
,Contoh: Proyek Ketataprajaan 053.311
54,Bidang Kesejahteraan Rakyat Tambahkan Peincian 400 pada 054
,Contoh: Proyek Resettlement Desa 054.671
55,Bidang Perekonomian Tambahkan Perincian 500 Pada 055
,Contoh: Proyek Pasar 055.112
56,Bidang Pekerjaan Umum Tambahkan Perincian 600 pada 056
,Contoh: Proyek Jembatan 056.3
57,Bidang Pengawasan
58,Bidang Kepegawaian
59,Bidang Keuangan
60,ORGANISASI / KETATALAKSANAAN
.1,Program Kerja
61,Organisasi Instansi Pemerintah (struktur organisasi)
.1,Susunan dan Tata Kerja
.2,"Tata Tertib Kantor, Jam Kerja di Bulan Puasa"
62,Organisasi Badan Non Pemerintah
63,Organisasi Badan Internasional
64,"Organisasi Semi Pemerintah, BKS-AKSI"
65,Ketatalaksanaan / Tata Naskah / Sistem 
66,Stempel Dinas
67,Pelayanan Umum / Pelayanan Publik / Analisis
68,Komputerisasi / Siskomdagri
69,Standar Pelayanan Minimal
70,PENELITIAN
